Vertical,Company Name,Phone,Address,Website,Employees,Est. Annual Revenue,Door-Knock Status
Salon,Beauty Mark Learning Concepts,(956) 309-7022,"4800 N 10th St Ste G, McAllen, TX 78504",beautymarkconcepts.com,27,6793000,New / Ready
Spa / MedSpa,Beaute Spa,,"2100 Jay Ave, McAllen, TX 78504",,24,2556000,New / Ready
Barber,Freedom Faders,(956) 685-8876,"6100 N 10th St E, McAllen, TX 78504",,16,1732000,New / Ready
Skincare,Silly Pig Laser,,"2600 York Ave, McAllen, TX 78504",,16,758000,New / Ready
Spa / MedSpa,Venus Medspa,,"5200 N McColl Rd Ste 3, McAllen, TX 78504",venusspamcallen.com,16,3062000,New / Ready
Spa / MedSpa,SkinSational Medspa,(956) 382-3718,"3423 W Alberta Rd, McAllen, TX 78504",skinsational-medspa.com,15,1490000,New / Ready
Body Sculpting,Body Sculpting Room,,"1300 Trenton Rd Ste 160, McAllen, TX 78504",bodysculptingroom.com,15,2988000,New / Ready
Spa / MedSpa,Aroma D' Liz,,"4400 N 23rd St, McAllen, TX 78504",aromadliz.com,14,2262000,New / Ready
Spa / MedSpa,Skin Roll Med Spa,,"3404 Notre Dame Ave, McAllen, TX 78504",,14,502000,New / Ready
Body Sculpting,Cryo Body Sculpting,,"720 Cardinal Ave, McAllen, TX 78504",,14,653000,New / Ready
Body Sculpting,Melt Lipotherapy,,"1700 W Dove Ave Ste 50, McAllen, TX 78504",meltlipo.com,14,2668000,New / Ready
Lashes / Brows,Kateyed Beauty (Pelican Ave),,"4604 Pelican Ave, McAllen, TX 78504",,14,464000,New / Ready
Salon,Hair Extensions by Denise,,"5208 N 10th St, McAllen, TX 78504",,13,331000,New / Ready
Spa / MedSpa,Exalted Beauty MedSpa,,"3601 Buddy Owens Ave Ste 160, McAllen, TX 78504",,13,382000,New / Ready
Lashes / Brows,DeVida Lash,(956) 372-8635,"5011 N McColl Rd, McAllen, TX 78504",devidalash.com,13,2547000,New / Ready
Wellness,Uptown Medical Wellness & Anti-Aging Center,(956) 627-4056,"801 E Nolana Ave #4, McAllen, TX 78504",uptownmedicalwellness.com,12,1307000,New / Ready
Nails,NV Nails & Spa,,"4911 N 41st Ln, McAllen, TX 78504",,12,506000,New / Ready
Massage,Four Seasons Massage,,"711 W Nolana Ave Ste 201D, McAllen, TX 78504",,12,276000,New / Ready
Skincare,360 Glow Tan Studio,,"6624 N 10th St Ste N, McAllen, TX 78504",,12,589000,New / Ready
Salon,Twisted Sistas,,"6700 N 23rd St, McAllen, TX 78504",,12,710000,New / Ready
Salon,Tableau de Katia,(956) 867-0023,"6421 N 10th St Ste 140, McAllen, TX 78504",tableaudekatia.com,12,1409000,New / Ready
Skincare,RGV Skin Solutions,,"2208 Grambling Ave, McAllen, TX 78504",,12,422000,New / Ready
Barber,The Spot Barbershop,,"1701 N Dove Ave Ste C, McAllen, TX 78504",,11,322000,New / Ready
Barber,Barber Guy,,"4101 Avocet Ave, McAllen, TX 78504",,11,303000,New / Ready
Salon,Beauty by Kattia,,"9509 N 22nd Ln, McAllen, TX 78504",,11,499000,New / Ready
Salon,Colia Beauty,,"5221 N 10th St Unit 245, McAllen, TX 78504",,11,499000,New / Ready
Salon,Adria Beauty RGV,,"1508 W Dove Ave, McAllen, TX 78504",,11,499000,New / Ready
Lashes / Brows,Lashed Lash Studio,,"5313 River Rd, McAllen, TX 78504",,11,351000,New / Ready
Salon,Ana Karen Glam Studio,,"4701 Buddy Owens Ave Ste D, McAllen, TX 78504",,10,391000,New / Ready
Salon,Midnight Beauty Collective,,"2413 Buddy Owens Ave, McAllen, TX 78504",,10,447000,New / Ready
Lashes / Brows,Kateyed Beauty (Buddy Owens Blvd),(213) 295-1837,"2412 Buddy Owens Blvd Ste 3, McAllen, TX 78504",kateyedbeauty.com,10,1755000,New / Ready
Skincare,Bellezza Skin and Beauty,,"10702 N 25th Ln, McAllen, TX 78504",,10,321000,New / Ready
Salon,D Salon,(956) 631-5991,"511 W Nolana Ave, McAllen, TX 78504",d-salon.com,10,810000,New / Ready
Salon,Blush Babes Beauty Studio,,"6112 N 36th St, McAllen, TX 78504",,10,529000,New / Ready
Skincare,Hyaluronic Beauty Studio,,"901 E Redbud Ave Apt 905, McAllen, TX 78504",,10,282000,New / Ready
Lashes / Brows,Lash Queen Studio,,"1320 Quail Ave, McAllen, TX 78504",,10,516000,New / Ready
Nails,Jade Nails & Spa,(956) 888-1116,"1300 E Nolana Ave Bldg 100 Ste 160, McAllen, TX 78504",jadenailsmcallen.com,10,914000,New / Ready
Skincare,Skin Boss,,"2208 Primrose Ave Ste HA, McAllen, TX 78504",,10,442000,New / Ready
Salon,Lucy's Beauty Salon,(956) 279-2608,"2517 Buddy Owens Ave, McAllen, TX 78504",lucyshairextensions.com,10,3309000,New / Ready
Nails,Bliss Bling Nails Spa,,"1300 Trenton Rd Bldg 300, McAllen, TX 78504",,9,251000,New / Ready
Skincare,Mia's Skin Care & Spa,,"2416 Mona Ave, McAllen, TX 78504",,9,500000,New / Ready
Salon,BN Beauty,,"7824 N Ware Rd Unit 2, McAllen, TX 78504",,9,460000,New / Ready
Spa / MedSpa,Bodyglow Spa & Salon,,"11321 N Bentsen Rd, McAllen, TX 78504",,9,406000,New / Ready
Salon,Black Dahlia Beauty Lounge,,"2413 Buddy Owens Ave, McAllen, TX 78504",,9,425000,New / Ready
Nails,"Trends Nails, Wax, Blowouts",(956) 530-0689,"5401 N 10th St Ste 223, McAllen, TX 78504",,9,267000,New / Ready
Barber,Some Cuts,(956) 358-8540,"5221 N 10th St Ste 145, McAllen, TX 78504",,9,451000,New / Ready
Body Sculpting,Skin Body Sculpting,,"325 Xanthisma Ave, McAllen, TX 78504",,8,435000,New / Ready
Nails,Allure Nails and Spa RGV,,"7501 N 10th St Ste 40, McAllen, TX 78504",,8,294000,New / Ready
Nails,Paul Nguyen Nails Spa,,"7600 N 10th St Ste 800E, McAllen, TX 78504",,8,294000,New / Ready
Barber,Brooklyn The Barber,,"5021 N 10th St, McAllen, TX 78504",,8,269000,New / Ready
Massage,Rejuvenating Touch Massage Therapy,(956) 627-4755,"5000 N 23rd St Ste K, McAllen, TX 78504",rejuvenatingtouchrgv.com,8,3607000,New / Ready
Nails,MB Nails,,"4305 N 27th St, McAllen, TX 78504",,8,262000,New / Ready
Spa / MedSpa,Etoile de Paris Spa,(956) 350-2999,"6624 N 10th St Ste J, McAllen, TX 78504",etoiledeparisspa.com,8,1572000,New / Ready
Nails,New Happy Nails,,"6211 N 46th Ln, McAllen, TX 78504",,8,297000,New / Ready
Salon,Iron Ink Studio,,"2200 W Nolana Ave Ste 2230, McAllen, TX 78504",,8,313000,New / Ready
