Vertical,Company Name,Phone,Address,Website,Employees,Est. Annual Revenue,Door-Knock Status
Cemetery / Memorial Park,Magic Valley Memorial Gardens,(956) 787-5222,"S Highway 281 & Fm 3072, Pharr TX 78577",www.magicvalleymemorialgardens.com,29,$6,680,000,New / Ready
Funeral Home,Skinner-Silva Funeral Homes,(956) 781-2244,"122 W Samano St, Edinburg TX 78539",www.greenleafenterprises.com,19,$5,657,000,New / Ready
Funeral Home,McCaleb Funeral Home,(956) 968-7533,"900 W 4th St, Weslaco TX 78596",www.mccalebfuneralhome.com,15,$3,590,000,New / Ready
Funeral Home,Hernandez Funerals,(956) 638-0140,"806 E Expressway 83, La Joya TX 78560",www.hernandezfunerals.com,7,$3,483,000,New / Ready
Funeral Home,Ric Brown Family Funeral Home,(956) 583-6333,"621 E Griffin Pkwy, Mission TX 78572",www.ricbrownffh.com,14,$3,240,000,New / Ready
Funeral Home,Ceballos-Diaz Funeral Home,(956) 383-4931,"322 E Kuhn St, Edinburg TX 78541",www.ceballos-diaz.com,12,$2,337,000,New / Ready
Funeral Home,Vaughan Funeral Homes,(956) 464-3661,"1701 E Business 83, Donna TX 78537",www.vaughanfuneral.com,6,$1,769,000,New / Ready
Funeral Home,Amador Funeral Home,(956) 787-9300,"1201 E Ferguson St, Pharr TX 78577",www.amadorfuneralhome.com,9,$1,667,000,New / Ready
Pre-Need / Insurance,Texas Pre Need Funerals,,"1701 E Mcintyre St, Edinburg TX 78542",,12,$1,573,000,New / Ready
Cemetery / Memorial Park,Highland Memorial Park,(956) 567-0005,"6705 N Fm 88, Weslaco TX 78599",,10,$1,456,000,New / Ready
Funeral Home,Memorial Funeral Home,(956) 380-1416,"208 E Canton Rd, Edinburg TX 78539",www.memorialfuneral.com,7,$1,435,000,New / Ready
Funeral Home,Legacy Chapels,(956) 618-5900,"4610 S Jackson Rd, Edinburg TX 78539",www.legacychapelsrgv.com,9,$1,404,000,New / Ready
Funeral Home,Rivera at Hillcrest Funerals & Cremations,(956) 322-4332,"1300 N I-69C, Edinburg TX 78542",www.riverahillcrest.com,11,$1,391,000,New / Ready
Funeral Home,Lord & I Funeral Homes,(956) 585-2721,"1005 Expressway 83, Penitas TX 78576",www.virgilwilsonmortuary.com,6,$1,168,000,New / Ready
Funeral Home,Kreidler Funeral Home,(956) 686-0234,"314 N 10th St, McAllen TX 78501",www.kreidlerfuneralhome.com,4,$1,168,000,New / Ready
Funeral Home,Guerra Funeral Home of Weslaco,(956) 969-1461,"2602 N Texas Blvd, Weslaco TX 78599",www.guerrafhw.com,7,$1,152,000,New / Ready
Cemetery / Memorial Park,La Piedad Cemetery Association,,"McAllen TX 78502",,7,$1,074,000,New / Ready
Funeral Home,Gonzalez Funeral Home,(956) 380-0444,"812 E Cano St, Edinburg TX 78539",,9,$962,000,New / Ready
Funeral Home,Eternal Light Funeral Home,(956) 262-7988,"201 N Broadway St, Elsa TX 78543",www.eternallightfuneralhomeelsa.com,6,$921,000,New / Ready
Crematory / Mortuary,Ari Cremation,,"5854 Mile 13 1/2 N, Mercedes TX 78570",,19,$884,000,New / Ready
Funeral Home,Aurora Funeral Home,(956) 782-6150,"8610 S Cage Blvd, Pharr TX 78577",www.aurorafuneralhome.net,5,$875,000,New / Ready
Funeral Home,Cardoza Funeral Home,(956) 262-6744,"1401 Santa Rosa Ave, Edcouch TX 78538",www.cardozafuneralhome.com,6,$859,000,New / Ready
Casket / Monument,Platinum Casket,,"1237 W 2nd St, Mercedes TX 78570",,14,$853,000,New / Ready
Crematory / Mortuary,JDL Mortuary Services,,"601 E Seminole Ave, Pharr TX 78577",,19,$834,000,New / Ready
Casket / Monument,L I Funeral Home Monument,(956) 686-0234,"1005 E US Hwy 83, McAllen TX 78501",,4,$826,000,New / Ready
Cemetery / Memorial Park,Penitas Cemetery Association,,"Penitas TX 78576",,5,$797,000,New / Ready
Cemetery / Memorial Park,Val Verde Memorial Gardens,(956) 464-6060,"6200 N Val Verde Rd, Donna TX 78537",www.valverdememorial.com,5,$778,000,New / Ready
Crematory / Mortuary,RGV Mortuary & Cremation Service,,"McAllen TX 78502",,15,$754,000,New / Ready
Funeral Home,Deleon's Funeral Home,(956) 464-4522,"704 Expressway 83, Donna TX 78537",,3,$740,000,New / Ready
Pre-Need / Insurance,Funeral Planning For Everyone,,"615 San Carlos St, Weslaco TX 78596",,11,$693,000,New / Ready
Cemetery / Memorial Park,Anauch Community Cemetery,,"Elsa TX 78543",,18,$682,000,New / Ready
Funeral Home,Serenity Funeral Home,,"4314 S Conway Ave, Mission TX 78572",,7,$670,000,New / Ready
Funeral Home,Hernandez Funerals La Joya,,"804 W Moore Rd, Pharr TX 78577",,11,$626,000,New / Ready
Casket / Monument,Edinburg Memorial Monument,,"208 E Canton Rd, Edinburg TX 78539",,16,$620,000,New / Ready
Casket / Monument,Golden Gates Caskets,,"720 W Expressway 83, Sullivan City TX 78595",,21,$616,000,New / Ready
Cemetery / Memorial Park,McAllen Cemetery Association,,"1201 S Main St, McAllen TX 78501",,6,$604,000,New / Ready
Funeral Home,Funeral Ari,,"5854 Mile 13 1/2 N, Mercedes TX 78570",,10,$595,000,New / Ready
Cemetery / Memorial Park,La Blanca Community Cemetery,,"La Blanca TX 78558",,20,$586,000,New / Ready
